area,file,lat,lon,radius_km,Shops,Supermarkets,Markets,Mosques,Churches,Places of worship (other),Schools,Nurseries,Colleges,Hospitals,Clinics,Pharmacies,Banks,ATMs,Money transfer,Fuel stations,Restaurants & cafes,Bars,Police,Post offices,Fire stations,Ferry terminals,Bus & taxi ranks,Public water points,Government offices,Hotels & guesthouses,Sports grounds & gyms,Nature reserves,Libraries,Workshops
Fajara,fajara.html,13.469,-16.6914,2,31,6,0,4,2,0,22,1,3,1,1,1,9,2,2,6,33,0,1,0,0,0,1,0,8,17,27,0,1,0
Fajara,fajara.html,13.469,-16.6914,3,39,6,1,9,3,0,36,1,6,4,2,1,9,3,3,9,41,1,3,1,1,0,5,0,14,32,42,0,2,2
Fajara,fajara.html,13.469,-16.6914,5,85,16,6,16,7,0,43,1,7,7,2,3,20,10,4,17,120,21,3,2,2,0,16,0,15,98,62,0,2,2
Farafenni,farafenni.html,13.5721,-15.598,1,8,3,1,5,0,0,5,0,0,0,0,2,5,0,0,2,4,0,1,1,1,0,4,0,6,1,1,0,0,0
Farafenni,farafenni.html,13.5721,-15.598,2,8,5,2,6,1,0,7,0,1,1,0,2,5,0,0,3,4,0,1,1,1,0,4,0,6,1,6,0,0,0
Farafenni,farafenni.html,13.5721,-15.598,3,8,5,2,9,1,0,7,0,1,1,0,2,5,0,0,3,4,0,1,1,1,0,4,0,9,1,7,0,0,0
Farafenni,farafenni.html,13.5721,-15.598,5,9,5,2,14,1,0,12,1,1,1,1,2,5,0,0,4,4,0,1,1,1,0,4,0,9,1,12,0,0,0
Farato,farato.html,13.3152,-16.6632,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,2,0,0,0
Farato,farato.html,13.3152,-16.6632,2,0,0,2,0,0,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,6,0,0,0
Farato,farato.html,13.3152,-16.6632,3,1,0,3,1,0,1,4,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,4,8,1,0,0
Farato,farato.html,13.3152,-16.6632,5,7,1,6,12,0,4,23,0,0,2,1,1,3,0,0,9,4,1,3,0,1,0,3,0,0,4,23,1,0,0
Fatoto,fatoto.html,13.3993,-13.891,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0
Fatoto,fatoto.html,13.3993,-13.891,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0
Fatoto,fatoto.html,13.3993,-13.891,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0
Fatoto,fatoto.html,13.3993,-13.891,5,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0
Gambissara,gambissara.html,13.2383,-14.3108,1,10,2,0,1,0,0,0,0,0,0,1,1,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2
Gambissara,gambissara.html,13.2383,-14.3108,2,10,2,0,1,0,0,0,0,0,0,1,1,1,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2
Gambissara,gambissara.html,13.2383,-14.3108,3,10,2,0,1,0,0,0,0,0,0,1,1,1,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2
Gambissara,gambissara.html,13.2383,-14.3108,5,10,2,0,1,0,0,1,0,0,0,1,1,1,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2
